Sample Number;Period [s];Velocity [cm/s];Temperature [C]
50;3,3860521;18,0106735;26,23
49;3,3870311;18,0281925;26,23
48;3,3862205;18,024807;26,22
47;3,3864937;18,0419178;26,22
46;3,3859169;18,0609035;26,23
45;3,3865845;18,087862;26,21
44;3,386806;18,0929909;26,24
43;3,3860836;18,0851784;26,24
42;3,3863289;18,1070347;26,23
41;3,3866889;18,1324463;26,25
40;3,3867543;18,1158466;26,24
39;3,3864198;18,1213646;26,25
38;3,3858595;18,1338558;26,25
37;3,3864288;18,1740646;26,26
36;3,3862524;18,1564713;26,25
35;3,3870306;18,225111;26,23
34;3,3859086;18,2022266;26,20
33;3,3864274;18,1886997;26,18
32;3,3866019;18,2051449;26,19
31;3,3867266;18,2183628;26,19
30;3,3864841;18,2157497;26,19
29;3,3859215;18,2313995;26,18
28;3,3866787;18,2507668;26,19
27;3,3864965;18,2551517;26,19
26;3,3867197;18,2692795;26,19
25;3,3858643;18,2955189;26,18
24;3,3862782;18,2990608;26,16
23;3,3870077;18,3020115;26,17
22;3,3864398;18,3036938;26,16
21;3,3862228;18,3101044;26,18
20;3,3860617;18,3253288;26,19
19;3,3865116;18,3543911;26,18
18;3,3867543;18,369194;26,19
17;3,3862724;18,3623028;26,19
16;3,3860865;18,3983498;26,20
15;3,3866062;18,380785;26,18
14;3,3868513;18,4218922;26,20
13;3,38638;18,3867607;26,18
12;3,3864672;18,406517;26,18
11;3,3856392;18,4311714;26,16
10;3,3869731;18,4445934;26,17
9;3,386683;18,4565983;26,16
8;3,3856494;18,4584923;26,16
7;3,3870173;18,4944248;26,16
6;3,3861065;18,4893646;26,16
5;3,3869643;18,5022755;26,16
4;3,386519;18,5038357;26,18
3;3,3863602;18,5076542;26,18
2;3,3856459;18,5354557;26,19
1;3,3865235;18,5493774;26,19
